,target
929,15.900449710052865
930,15.687952376405438
931,15.525527834545281
932,15.057551680922687
933,14.302488062455014
934,14.209325397810735
937,15.39230254388848
938,14.758505536272606
939,13.716516400640064
940,13.21181095112208
941,12.554166375946728
942,11.503692976406622
943,10.947150749719222
946,14.798907636288845
947,14.836425774692028
948,15.456057526685603
949,15.080201814998507
950,14.619784447688803
951,14.321448858197236
952,14.037890617893098
955,11.138842738090732
956,9.37610901542907
957,8.819813136232225
958,14.867649496575302
959,14.214094041918854
960,13.552206251796
961,12.73506131792341
964,14.52976588580723
965,14.583456721874702
966,14.118302646969546
967,15.06983088457629
968,14.841632795707193
969,14.454465509440793
970,14.205123346028369
973,15.095830048082068
974,14.086999222046279
975,13.748764802676648
976,13.002802512345362
977,12.53109385438711
978,11.652356917957176
979,10.990330857604238
982,12.27903031348048
983,11.855883764392377
984,11.190858965656616
985,13.453110686426479
986,13.03307085512548
987,12.890764177642458
988,10.167312288457342
991,12.22362273777306
992,11.947806970358826
993,12.008438446354502
994,12.009437131096735
995,12.244153285970537
996,12.310306526773722
997,12.152508353325427
1000,10.280896062861768
1001,12.855241814917731
1002,11.841567122476253
1003,10.960565787674572
1004,10.282197923335472
1005,11.661879810062088
1006,15.086590456816948
1009,15.603629073624647
1010,14.20880928826667
1011,13.27187588896832
1012,13.313707442017476
1013,13.013719700287584
1014,12.681306324192962
1015,12.499469606852058
1018,15.163737460676918
1019,14.587705951852142
1020,13.343227532868516
1021,11.784150357869915
1022,11.042761822923127
1023,11.577917008477668
1024,11.512225219855836
1027,12.116153408446742
1028,11.332410275711641
1029,11.407120406073252
1030,12.294962257531576
1031,11.776535107478617
1032,11.338560172992684
1033,10.78128690522831
1036,15.09301157355792
1037,14.78223353362829
1038,14.49552183913108
1039,14.39895949518061
1040,14.172110999127744
1041,13.936809184460834
1042,12.555246022943559
1045,16.190925764140786
1046,15.804481564842536
1047,15.468831949787774
1048,14.500398726584523
1049,13.970245923972106
1050,12.86177753061425
1051,11.20048611117043
1054,17.04424934353235
1055,16.661472120607492
1056,16.166747805604874
1057,16.085697244855144
1058,15.427523352542263
1059,15.098232526004074
1060,14.795477439240361
1063,12.723815291445232
1064,11.461158374148345
1065,10.913742103732497
1066,11.886204790008875
1067,13.949522959885273
1068,13.360791127982155
1069,14.21805607487748
1072,16.423007190024883
1073,16.077646191205037
1074,16.491631812250056
1075,17.283949148959728
1076,16.739300006049586
1077,16.15635417058261
1078,16.329767412187028
1081,10.804360031681902
1082,10.505341474649683
1083,9.985574323534237
1084,9.921818509220852
1085,9.165238398063762
1086,9.111403624116159
1087,11.450028262798115
1090,14.756733483483066
